epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.6211547100830078,0.77904,0.4214279535293579,0.8479,35.74007984623313
2,0.3831207412815094,0.86318,0.3537469434738159,0.8711,34.7198410788551
3,0.33457574778556826,0.88076,0.3551629432201385,0.8709,35.8381093069911
4,0.30715491916656495,0.88874,0.32463490428924563,0.8799,35.01195549592376
5,0.2834375321722031,0.89822,0.2894784162521362,0.8942,35.74939957354218
6,0.2632942610645294,0.90344,0.2879297824382782,0.8931,35.1372494911775
7,0.24886398159980774,0.9087,0.27857790284156797,0.9003,35.71695615258068
8,0.2398493430995941,0.91232,0.287329336977005,0.8934,35.331919812597334
9,0.22414817707061768,0.91766,0.2696839822292328,0.9023,35.33526373747736
10,0.21302948923110962,0.92162,0.27045326690673827,0.9034,35.57056294102222
11,0.20885917119979858,0.92366,0.2536820320606232,0.909,34.19261091016233
12,0.19620185444355012,0.92792,0.24735199675559996,0.9098,35.70278201252222
13,0.186790118124485,0.93234,0.25632094655036924,0.9091,35.557293667458
14,0.1793572318792343,0.93454,0.2631275942325592,0.9068,35.37392383441329
15,0.1712566212940216,0.93728,0.24260422575473786,0.9126,36.05543361417949
