epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.6237513152122498,0.79028,0.4823017764091492,0.8298,13.1554362969473
2,0.4348716332244873,0.8484,0.40878000230789185,0.8583,12.613232741132379
3,0.39561311769485474,0.8598,0.40252439813613894,0.8576,12.850414384156466
4,0.3697697657585144,0.86842,0.3751331373214722,0.8701,13.9348090486601
5,0.3468054446792603,0.87548,0.37163032608032226,0.8679,12.660093220882118
6,0.33119362545013425,0.88086,0.3594242799758911,0.8707,12.348491363227367
7,0.3180417237043381,0.8861,0.36373747043609617,0.8712,12.807876934297383
8,0.3076945296192169,0.8884,0.34746988668441775,0.8761,13.602598249912262
9,0.29983347765922547,0.8909,0.33433676738739015,0.8791,13.169573493301868
10,0.2891486943626404,0.89538,0.33107969274520876,0.8819,13.050460188649595
11,0.2791645361328125,0.8972,0.3302745288848877,0.8827,12.397188203409314
12,0.27273941425800324,0.90014,0.33728750109672545,0.8799,13.475626530125737
13,0.2663380681657791,0.90206,0.331477414894104,0.8832,13.899500684812665
14,0.2594377569770813,0.90422,0.3178217580795288,0.8867,13.589428517967463
15,0.25272696046829224,0.90646,0.31509942150115966,0.8878,12.856036657467484
