model,n,expected,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,training_seconds_mean,training_seconds_std
mlp,3,3,0.8789333333333333,0.004178915329763602,0.8777626509343731,0.003757959395505064,194.74509159599742,3.6310184940200196
cnn,3,3,0.9103666666666667,0.0038423083339749237,0.9100824943007781,0.0038692710912428497,535.7176455551138,5.8366031935982505
