model,seed,status,split,examples,best_epoch,parameters,accuracy,macro_f1,loss,training_seconds,error
mlp,0,complete,test,10000,15,101770,0.8835,0.8816049514087512,0.3370476677417755,197.21109827701002,
cnn,0,complete,test,10000,13,105866,0.9071,0.9067370067203075,0.2612456856250763,542.2722678817809,
mlp,1,complete,test,10000,15,101770,0.878,0.8775878695347181,0.34363147549629214,196.44865148328245,
cnn,1,complete,test,10000,14,105866,0.9094,0.9091906633866588,0.25906759219169617,533.7981383008882,
mlp,2,complete,test,10000,11,101770,0.8753,0.8740951318596499,0.3413145222663879,190.57552502769977,
cnn,2,complete,test,10000,15,105866,0.9146,0.914319812795368,0.24829333276748658,531.0825304826722,
