epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.625237897014618,0.79072,0.4634965998649597,0.8388,12.59254545904696
2,0.43575551149368286,0.84874,0.41432565574645996,0.8556,12.617207892239094
3,0.3972738332939148,0.8607,0.40633588399887083,0.8574,12.84317578189075
4,0.37215886021614075,0.86662,0.38680242462158204,0.8609,12.427130166441202
5,0.35296859016895293,0.87328,0.36190761117935183,0.871,12.565019398927689
6,0.33347777669906614,0.87954,0.36014063568115234,0.8728,12.87475801166147
7,0.31922607785224916,0.88482,0.3762650586605072,0.8657,12.772253300063312
8,0.30671413157463073,0.88918,0.36824630012512205,0.8676,12.83466449007392
9,0.29567661101341247,0.89226,0.33516052684783937,0.8812,12.555148303508759
10,0.28598927722930906,0.89626,0.32801226987838744,0.8839,12.695974200032651
11,0.27959515956401826,0.89738,0.3167806776046753,0.888,12.550462340004742
12,0.2694026146316528,0.90184,0.3272332946777344,0.8815,12.936904396861792
13,0.26166122206687925,0.90464,0.332341163444519,0.8831,13.069317596033216
14,0.25383313183784484,0.90704,0.32687304587364197,0.8821,12.712803464382887
15,0.24650008091926576,0.90852,0.3286363971710205,0.8839,12.498088733293116
