epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.6690709064865112,0.75794,0.469522354888916,0.8205,35.20109430234879
2,0.4015737705039978,0.85698,0.3669725622177124,0.8674,35.62016978953034
3,0.3463189734840393,0.87572,0.3349171218395233,0.8795,35.96620483417064
4,0.3140828671646118,0.88738,0.30769094977378847,0.8894,35.941885240375996
5,0.28729610602378847,0.89536,0.3116474988937378,0.8836,35.84423085767776
6,0.2687053558254242,0.90126,0.29134366488456725,0.8941,36.08036671299487
7,0.2542373956727982,0.9072,0.297755691576004,0.89,34.65546401031315
8,0.2416379937171936,0.9125,0.28453232183456423,0.8973,35.20717141684145
9,0.23015734623908995,0.91646,0.26342287364006045,0.9065,34.86627590004355
10,0.21980532012939452,0.91898,0.2634451549530029,0.9042,35.586016645655036
11,0.21068365880966186,0.9214,0.25802301983833315,0.9076,36.102448001503944
12,0.20011552302360536,0.92608,0.27842937664985656,0.9019,35.35350678022951
13,0.1914954279923439,0.93152,0.29388807125091554,0.8931,36.379322982393205
14,0.18524502659797668,0.93148,0.24997068099975586,0.9105,35.28867083694786
15,0.17552971201896667,0.93618,0.25468842573165895,0.91,35.665410983376205
